cinema_name,movie_name,total_seats
台北樂聲影城,哥吉拉大戰金剛,792
台北in89豪華數位影城,哥吉拉大戰金剛,513
板橋大遠百威秀影城,哥吉拉大戰金剛,409
台北美麗華大直影城,哥吉拉大戰金剛,406
"MUVIE CINEMAS台北松仁威秀",哥吉拉大戰金剛,397
台北華威天母影城,哥吉拉大戰金剛,341
台北美麗華大直影城,哥吉拉大戰金剛,334
台北京站威秀影城,哥吉拉大戰金剛,324
台北新光影城,哥吉拉大戰金剛,317
板橋大遠百威秀影城,哥吉拉大戰金剛,298
台北信義威秀影城,哥吉拉大戰金剛,257
"林口MITSUI OUTLET PARK威秀影城",哥吉拉大戰金剛,246
台北信義威秀影城,哥吉拉大戰金剛,231
台北京站威秀影城,哥吉拉大戰金剛,227
台北新民生戲院,哥吉拉大戰金剛,198
台北華威天母影城,哥吉拉大戰金剛,197
台北華威天母影城,哥吉拉大戰金剛,196
"MUVIE CINEMAS台北松仁威秀",哥吉拉大戰金剛,178
台北信義威秀影城,哥吉拉大戰金剛,176
哈拉影城,哥吉拉大戰金剛,156
喜滿客絕色影城,哥吉拉大戰金剛,151
喜滿客絕色影城,哥吉拉大戰金剛,148
哈拉影城,哥吉拉大戰金剛,145
喜樂時代影城南港店,哥吉拉大戰金剛,104
哈拉影城,哥吉拉大戰金剛,93
哈拉影城,哥吉拉大戰金剛,84
喜樂時代影城永和店,哥吉拉大戰金剛,50
喜樂時代影城永和店,哥吉拉大戰金剛,38
喜樂時代影城永和店,哥吉拉大戰金剛,37
喜樂時代影城永和店,哥吉拉大戰金剛,31
